930 1174;458;867;11;1
0J ZD364;340;262;87;2
KTD 794;29;846;77;3
54-4955K;70;688;1;4
824L;86;768;16;5
UYX-2257;288;269;17;6
0-97337;203;921;93;7
394 DHG;342;751;83;8
8MDD 42;519;552;56;9
238152;34;928;99;10
866 DSK;193;827;97;11
4GSS980;27;233;61;12
354 8316;278;932;15;13
II 66463;404;183;2;14
527VV;454;241;21;15
06Y Y22;479;705;29;16
L26 1UQ;237;745;62;17
57-WR19;307;44;77;18
292 WAF;490;73;77;19
0N NU065;488;257;92;20
7-3237X;473;774;25;21
MNY4836;319;436;7;22
KYG 778;126;432;7;23
1XH 014;381;396;94;24
711G;93;347;65;25
299 JKL;9;74;92;26
886IP;185;272;80;27
MGA 425;365;997;96;28
6852;4;915;48;29
A30 3ID;541;231;23;30
UWV 891;212;115;93;31
5RI 578;290;145;77;32
295 DEP;159;764;14;33
822 QLL;557;658;69;34
307AJV;71;629;57;35
235-ZGQ;229;449;6;36
663 OIN;91;375;84;37
987-GDLS;161;131;59;38
5889 TU;145;195;98;39
3WI 085;235;208;5;40
9VH E64;1;855;25;41
535 2586;196;217;59;42
5XL A40;4;915;11;43
890PX;559;17;29;44
VA 12142;486;176;85;45
SDH-5762;446;399;68;46
42W X91;211;101;18;47
W38 9GH;202;392;33;48
7WV00;63;418;68;49
JLW-7291;279;30;87;50
90P-286;178;163;43;51
CCV-055;409;167;57;52
0UC 866;459;524;51;53
LNN 120;192;433;57;54
5U114;316;400;25;55
2-44154X;543;642;9;56
ME 6775;418;936;63;57
HQK 581;278;54;55;58
71GG116;118;464;38;59
1PL 247;340;310;80;60
992 VH0;330;85;79;61
QKD-450;109;327;67;62
272J3;487;753;75;63
374V9;15;952;2;64
291 BZP;541;665;52;65
4Z 81894;73;458;90;66
400 QF0;474;156;36;67
6ZMC437;105;725;50;68
GNS 2894;555;672;28;69
4J D4610;409;254;57;70
046 5EH;2;989;44;71
5CRP 00;407;103;21;72
XEE 158;352;677;72;73
KZC 305;356;854;2;74
712-RKT;462;112;35;75
GJK-6970;504;173;20;76
8G 34737;482;834;35;77
JUX 719;216;193;92;78
HHF-2493;227;279;6;79
939MR;166;82;43;80
XQN 472;193;100;81;81
87T 723;531;297;45;82
214UJJ;545;971;81;83
OG-2695;106;273;95;84
152-BGCR;95;585;4;85
UBM-0661;32;160;45;86
626 XR7;303;578;70;87
5K X6478;546;214;41;88
FGL-689;112;912;77;89
OEI 722;431;234;49;90
0-21956H;59;150;51;91
RCN-3231;306;467;15;92
89T B12;161;131;29;93
905DZ;358;883;54;94
58KB9;469;800;80;95
0HG4804;533;701;51;96
ZNV 329;196;557;58;97
KK 39177;464;281;66;98
9V 68849;446;238;65;99
HOM 567;363;490;43;100
845 SEP;78;26;38;101
Q92 5ZV;7;88;100;102
535 1478;545;971;89;103
M00 6AI;85;283;22;104
764 RS8;468;419;87;105
CLD 965;282;366;4;106
D44 9RH;235;873;72;107
9-81196P;49;469;4;108
XQB 153;157;693;7;109
2D 6446F;385;850;7;110
995-ZFH;395;12;65;111
HEX 493;355;132;23;112
J05 8DD;168;473;43;113
0ZN5445;196;557;24;114
07S-112;130;247;7;115
OS 34021;526;503;51;116
2WF P62;183;560;43;117
UMO-452;211;413;77;118
7-08172;362;933;59;119
BVA 257;146;318;19;120
Y75-18M;395;720;94;121
MOI 782;467;863;88;122
3YR4142;49;469;90;123
BAJ-9407;352;529;27;124
VRV-352;183;379;47;125
917-JAG;91;450;42;126
558 7KL;564;790;80;127
8608 YG;203;921;78;128
612 MN6;120;258;33;129
5550;202;602;44;130
ZAR 416;470;626;41;131
RNY 059;173;899;6;132
0N 7754U;201;104;13;133
016W9;157;693;7;134
0FE4369;419;182;59;135
IHX 9861;93;347;55;136
KT 33709;15;75;31;137
271 TIX;434;905;46;138
616-YSQQ;125;278;35;139
BLF-887;244;588;9;140
7JL 235;544;601;66;141
94ZG4;216;193;12;142
05G-606;181;780;73;143
1G G8087;350;639;84;144
058-WOI;432;448;26;145
MDN-059;472;810;79;146
043 8691;98;40;68;147
51L 442;145;722;62;148
197 UIU;488;257;94;149
890 GTX;33;256;32;150
954XH;462;112;81;151
5715;201;104;80;152
30T 287;400;434;53;153
6S 8G6BXS;204;793;53;154
243 BER;215;675;74;155
258 VRY;340;842;24;156
867 4114;246;972;58;157
909-XVP;118;464;12;158
0-49904;288;269;54;159
0-49268;136;990;68;160
